CMDLINE /home/panpan/anaconda3/envs/rl4co/bin/python run.py
MEM 1.250000 1703559570.0433
MEM 38.816406 1703559570.1436
MEM 206.566406 1703559570.2439
MEM 270.066406 1703559570.3442
MEM 343.390625 1703559570.4445
MEM 366.890625 1703559570.5448
MEM 382.640625 1703559570.6450
MEM 400.140625 1703559570.7453
MEM 409.890625 1703559570.8456
MEM 427.390625 1703559570.9459
MEM 439.546875 1703559571.0462
MEM 454.546875 1703559571.1464
MEM 461.796875 1703559571.2467
MEM 463.296875 1703559571.3469
MEM 481.046875 1703559571.4472
MEM 509.796875 1703559571.5474
MEM 537.796875 1703559571.6477
MEM 544.296875 1703559571.7479
MEM 551.757812 1703559571.8482
MEM 553.507812 1703559571.9485
MEM 553.507812 1703559572.0487
MEM 553.507812 1703559572.1489
MEM 553.507812 1703559572.2492
MEM 553.507812 1703559572.3495
MEM 554.257812 1703559572.4497
MEM 554.257812 1703559572.5500
MEM 554.257812 1703559572.6502
MEM 554.257812 1703559572.7504
MEM 554.257812 1703559572.8507
MEM 554.257812 1703559572.9510
MEM 554.257812 1703559573.0512
MEM 554.257812 1703559573.1514
MEM 554.257812 1703559573.2517
MEM 554.257812 1703559573.3519
MEM 554.257812 1703559573.4521
MEM 554.257812 1703559573.5523
MEM 554.257812 1703559573.6526
MEM 554.257812 1703559573.7528
MEM 554.257812 1703559573.8530
MEM 559.507812 1703559573.9533
MEM 568.128906 1703559574.0536
MEM 568.878906 1703559574.1541
MEM 568.878906 1703559574.2545
MEM 568.878906 1703559574.3550
MEM 568.878906 1703559574.4555
MEM 568.878906 1703559574.5560
MEM 568.878906 1703559574.6565
MEM 568.878906 1703559574.7570
MEM 568.878906 1703559574.8575
MEM 568.878906 1703559574.9579
MEM 568.878906 1703559575.0584
MEM 568.878906 1703559575.1590
MEM 569.128906 1703559575.2595
MEM 569.128906 1703559575.3600
MEM 570.878906 1703559575.4606
MEM 570.878906 1703559575.5611
MEM 570.878906 1703559575.6617
MEM 570.878906 1703559575.7622
MEM 570.878906 1703559575.8627
MEM 570.878906 1703559575.9630
MEM 570.878906 1703559576.0633
MEM 570.878906 1703559576.1635
MEM 570.878906 1703559576.2638
MEM 570.878906 1703559576.3640
MEM 570.878906 1703559576.4642
