CMDLINE /home/panpan/anaconda3/envs/rl4co/bin/python run.py
MEM 0.750000 1703559430.9493
MEM 38.578125 1703559431.0496
MEM 227.328125 1703559431.1499
MEM 286.328125 1703559431.2501
MEM 343.472656 1703559431.3504
MEM 370.222656 1703559431.4507
MEM 382.722656 1703559431.5510
MEM 400.972656 1703559431.6512
MEM 410.222656 1703559431.7515
MEM 429.972656 1703559431.8518
MEM 440.136719 1703559431.9521
MEM 454.886719 1703559432.0523
MEM 461.886719 1703559432.1526
MEM 463.136719 1703559432.2528
MEM 481.136719 1703559432.3531
MEM 517.636719 1703559432.4533
MEM 538.386719 1703559432.5535
MEM 545.136719 1703559432.6538
MEM 552.054688 1703559432.7541
MEM 554.054688 1703559432.8543
MEM 554.054688 1703559432.9546
MEM 554.054688 1703559433.0549
MEM 554.054688 1703559433.1554
MEM 554.554688 1703559433.2556
MEM 554.804688 1703559433.3558
MEM 554.804688 1703559433.4560
MEM 554.804688 1703559433.5562
MEM 554.804688 1703559433.6564
MEM 554.804688 1703559433.7566
MEM 554.804688 1703559433.8568
MEM 554.804688 1703559433.9570
MEM 554.804688 1703559434.0571
MEM 554.804688 1703559434.1573
MEM 554.804688 1703559434.2575
MEM 554.804688 1703559434.3577
MEM 554.804688 1703559434.4578
MEM 554.804688 1703559434.5580
MEM 554.804688 1703559434.6582
MEM 554.804688 1703559434.7584
MEM 562.175781 1703559434.8587
MEM 568.496094 1703559434.9589
MEM 569.246094 1703559435.0594
MEM 569.246094 1703559435.1599
MEM 569.246094 1703559435.2604
MEM 569.246094 1703559435.3609
MEM 569.246094 1703559435.4614
MEM 569.246094 1703559435.5619
MEM 569.246094 1703559435.6623
MEM 569.246094 1703559435.7628
MEM 569.246094 1703559435.8633
MEM 569.246094 1703559435.9638
MEM 569.496094 1703559436.0644
MEM 569.496094 1703559436.1649
MEM 571.246094 1703559436.2653
MEM 571.246094 1703559436.3658
MEM 571.246094 1703559436.4663
MEM 571.246094 1703559436.5667
MEM 571.246094 1703559436.6672
MEM 571.496094 1703559436.7677
MEM 571.496094 1703559436.8682
MEM 571.496094 1703559436.9687
MEM 571.496094 1703559437.0692
MEM 571.496094 1703559437.1696
MEM 571.496094 1703559437.2701
MEM 571.496094 1703559437.3706
MEM 571.496094 1703559437.4711
MEM 571.496094 1703559437.5716
MEM 571.496094 1703559437.6721
MEM 571.496094 1703559437.7726
MEM 571.496094 1703559437.8730
MEM 571.496094 1703559437.9735
MEM 571.496094 1703559438.0738
MEM 571.496094 1703559438.1741
MEM 571.496094 1703559438.2745
MEM 581.449219 1703559438.3748
