CMDLINE /home/panpan/anaconda3/envs/rl4co/bin/python run.py
MEM 1434.332031 1703559185.1239
MEM 1434.582031 1703559185.2242
MEM 1434.832031 1703559185.3245
MEM 1434.832031 1703559185.4248
MEM 1434.832031 1703559185.5251
MEM 1434.832031 1703559185.6254
MEM 1434.832031 1703559185.7256
MEM 1434.832031 1703559185.8259
MEM 1434.832031 1703559185.9262
MEM 1434.832031 1703559186.0265
MEM 1434.832031 1703559186.1268
MEM 1434.832031 1703559186.2271
MEM 1434.832031 1703559186.3277
MEM 1434.832031 1703559186.4284
MEM 1434.832031 1703559186.5290
MEM 1434.832031 1703559186.6297
MEM 1434.832031 1703559186.7304
MEM 1434.832031 1703559186.8310
MEM 1434.832031 1703559186.9316
MEM 1434.832031 1703559187.0322
MEM 1434.832031 1703559187.1329
MEM 1434.832031 1703559187.2336
MEM 1435.082031 1703559187.3343
MEM 1435.582031 1703559187.4348
MEM 1435.582031 1703559187.5353
MEM 1437.082031 1703559187.6357
MEM 1437.082031 1703559187.7361
MEM 1437.082031 1703559187.8366
MEM 1437.082031 1703559187.9371
MEM 1437.082031 1703559188.0374
MEM 1437.082031 1703559188.1379
MEM 1437.082031 1703559188.2383
MEM 1437.082031 1703559188.3388
MEM 1437.082031 1703559188.4392
MEM 1437.082031 1703559188.5397
MEM 1437.082031 1703559188.6402
MEM 1437.082031 1703559188.7407
MEM 1437.082031 1703559188.8411
MEM 1437.082031 1703559188.9416
MEM 1437.082031 1703559189.0420
MEM 1437.082031 1703559189.1425
MEM 1437.082031 1703559189.2430
MEM 1437.082031 1703559189.3432
MEM 1437.082031 1703559189.4436
MEM 1437.082031 1703559189.5439
MEM 1435.523438 1703559189.6443
MEM 0.000000 1703559189.7445
