CMDLINE /home/panpan/anaconda3/envs/rl4co/bin/python run.py
MEM 1.250000 1703559393.0826
MEM 39.054688 1703559393.1829
MEM 208.054688 1703559393.2831
MEM 274.054688 1703559393.3834
MEM 343.996094 1703559393.4838
MEM 368.746094 1703559393.5841
MEM 383.246094 1703559393.6843
MEM 400.996094 1703559393.7846
MEM 410.246094 1703559393.8850
MEM 429.246094 1703559393.9852
MEM 439.875000 1703559394.0855
MEM 454.875000 1703559394.1857
MEM 462.125000 1703559394.2859
MEM 463.625000 1703559394.3861
MEM 481.625000 1703559394.4864
MEM 513.375000 1703559394.5866
MEM 538.625000 1703559394.6868
MEM 545.375000 1703559394.7870
MEM 552.062500 1703559394.8873
MEM 553.812500 1703559394.9876
MEM 553.812500 1703559395.0878
MEM 553.812500 1703559395.1880
MEM 553.812500 1703559395.2883
MEM 553.812500 1703559395.3885
MEM 554.562500 1703559395.4888
MEM 554.562500 1703559395.5890
MEM 554.562500 1703559395.6893
MEM 554.562500 1703559395.7895
MEM 554.562500 1703559395.8898
MEM 554.562500 1703559395.9900
MEM 554.562500 1703559396.0902
MEM 554.562500 1703559396.1904
MEM 554.562500 1703559396.2907
MEM 554.562500 1703559396.3909
MEM 554.562500 1703559396.4911
MEM 554.562500 1703559396.5913
MEM 554.562500 1703559396.6916
MEM 554.562500 1703559396.7918
MEM 554.562500 1703559396.8920
MEM 559.312500 1703559396.9923
MEM 567.929688 1703559397.0926
MEM 568.929688 1703559397.1929
MEM 568.929688 1703559397.2934
MEM 568.929688 1703559397.3939
MEM 568.929688 1703559397.4943
MEM 568.929688 1703559397.5948
MEM 568.929688 1703559397.6953
MEM 568.929688 1703559397.7958
MEM 568.929688 1703559397.8963
MEM 568.929688 1703559397.9967
MEM 568.929688 1703559398.0972
MEM 568.929688 1703559398.1978
MEM 569.429688 1703559398.2984
MEM 569.429688 1703559398.3989
MEM 570.929688 1703559398.4995
MEM 570.929688 1703559398.6000
MEM 570.929688 1703559398.7006
MEM 570.929688 1703559398.8012
MEM 571.179688 1703559398.9017
MEM 571.179688 1703559399.0023
MEM 571.179688 1703559399.1029
MEM 571.179688 1703559399.2034
MEM 571.179688 1703559399.3040
MEM 571.179688 1703559399.4045
MEM 571.179688 1703559399.5050
MEM 571.179688 1703559399.6055
MEM 571.179688 1703559399.7060
MEM 571.179688 1703559399.8065
MEM 571.179688 1703559399.9069
MEM 571.179688 1703559400.0074
MEM 571.179688 1703559400.1080
MEM 571.179688 1703559400.2086
MEM 571.179688 1703559400.3090
MEM 571.179688 1703559400.4093
MEM 571.179688 1703559400.5096
