CMDLINE /home/panpan/anaconda3/envs/rl4co/bin/python run.py
MEM 1.500000 1703557297.8881
MEM 38.878906 1703557297.9884
MEM 206.378906 1703557298.0887
MEM 270.878906 1703557298.1890
MEM 343.808594 1703557298.2893
MEM 367.308594 1703557298.3895
MEM 383.058594 1703557298.4898
MEM 400.558594 1703557298.5900
MEM 410.058594 1703557298.6903
MEM 427.808594 1703557298.7906
MEM 439.820312 1703557298.8909
MEM 454.820312 1703557298.9912
MEM 462.070312 1703557299.0914
MEM 463.570312 1703557299.1916
MEM 481.570312 1703557299.2920
MEM 510.070312 1703557299.3922
MEM 537.820312 1703557299.4924
MEM 543.070312 1703557299.5927
MEM 551.261719 1703557299.6931
MEM 553.011719 1703557299.7934
MEM 553.261719 1703557299.8937
MEM 553.261719 1703557299.9939
MEM 553.261719 1703557300.0945
MEM 553.261719 1703557300.1951
MEM 553.761719 1703557300.2954
MEM 553.761719 1703557300.3956
MEM 553.761719 1703557300.4958
MEM 553.761719 1703557300.5960
MEM 553.761719 1703557300.6962
MEM 553.761719 1703557300.7964
MEM 553.761719 1703557300.8965
MEM 553.761719 1703557300.9966
MEM 553.761719 1703557301.0968
MEM 553.761719 1703557301.1970
MEM 553.761719 1703557301.2973
MEM 553.761719 1703557301.3975
MEM 553.761719 1703557301.4977
MEM 553.761719 1703557301.5980
MEM 553.761719 1703557301.6982
MEM 554.011719 1703557301.7984
MEM 562.710938 1703557301.8987
MEM 694.164062 1703557301.9989
MEM 922.066406 1703557302.0992
MEM 941.066406 1703557302.1994
MEM 1082.816406 1703557302.2997
MEM 1113.816406 1703557302.3999
MEM 1114.066406 1703557302.5001
MEM 1114.066406 1703557302.6003
MEM 1114.816406 1703557302.7005
MEM 1114.816406 1703557302.8007
MEM 1114.816406 1703557302.9009
MEM 1114.816406 1703557303.0011
MEM 1114.816406 1703557303.1013
MEM 1114.816406 1703557303.2015
MEM 1114.816406 1703557303.3016
MEM 1114.816406 1703557303.4018
MEM 1115.566406 1703557303.5020
MEM 1255.066406 1703557303.6023
MEM 1255.816406 1703557303.7026
MEM 1256.066406 1703557303.8028
MEM 1279.066406 1703557303.9031
MEM 1338.066406 1703557304.0033
MEM 1338.066406 1703557304.1034
MEM 1338.566406 1703557304.2036
MEM 1338.566406 1703557304.3037
MEM 1338.566406 1703557304.4038
MEM 1338.566406 1703557304.5040
MEM 1338.566406 1703557304.6041
MEM 1338.566406 1703557304.7042
MEM 1338.566406 1703557304.8043
MEM 1338.566406 1703557304.9045
MEM 1338.566406 1703557305.0046
MEM 1338.566406 1703557305.1049
MEM 1338.566406 1703557305.2052
MEM 1338.566406 1703557305.3054
MEM 1338.566406 1703557305.4056
MEM 1338.816406 1703557305.5058
MEM 1338.816406 1703557305.6059
MEM 1338.816406 1703557305.7061
MEM 1338.816406 1703557305.8063
MEM 1338.816406 1703557305.9065
MEM 1338.816406 1703557306.0067
MEM 1338.816406 1703557306.1070
MEM 1338.816406 1703557306.2072
MEM 1338.816406 1703557306.3074
MEM 1348.066406 1703557306.4076
MEM 1362.566406 1703557306.5079
MEM 1362.566406 1703557306.6081
MEM 1362.566406 1703557306.7083
MEM 1362.566406 1703557306.8085
MEM 1362.566406 1703557306.9088
